num_demands,initial_allocation_sec,sa_sec,lns_sec,milp_model_build_sec,milp_cplex_solver_sec,milp_total_sec,ppo_single_rollout_sec,ppo_rollouts,ppo_best_of_runtime_sec
2,0.005799299999921459,22.782024100000058,0.043002100000080645,0.6064961999982188,0.20118149999689194,0.8076776999951107,0.037432799999805866,1,0.037432799999805866
4,0.013412099999982274,20.707150999999953,0.2529168999999456,0.5536309999988589,0.3715319000002637,0.9251628999991226,0.0917236999994202,1,0.0917236999994202
6,0.011320100000034472,21.169565899999952,0.7368698000000222,1.058785600002011,0.3884753999991517,1.4472610000011628,0.2198126000002958,1,0.2198126000002958
8,0.017304400000057285,22.394875800000023,0.46997239999996054,0.8193522000001394,0.4904015000029176,1.309753700003057,0.13460329999725218,1,0.13460329999725218
10,0.018579799999997704,25.898270700000012,1.381520999999907,0.8907020999977249,0.5515942999991239,1.4422963999968488,0.49853169999914826,1,0.49853169999914826
12,0.03907300000003033,42.23214160000009,2.8269297000000506,0.8379353000018455,0.6140310000009777,1.4519663000028231,0.7261620999997831,1,0.7261620999997831
15,0.028247899999996662,32.42315539999993,2.184448399999951,0.8423035999985586,0.6132677999994485,1.455571399998007,0.8168660000010277,1,0.8168660000010277
18,0.03504320000001826,40.38845219999996,2.524497399999973,0.8844846000029065,0.7999393999998574,1.684424000002764,1.3063259000009566,1,1.3063259000009566
20,0.05384309999999459,49.911464799999976,3.9386263999999755,0.8751135999991675,0.6956914000002143,1.5708049999993818,2.0046085999965726,1,2.0046085999965726
25,0.05868159999999989,78.21177149999994,10.66229199999998,0.9279481999983545,0.4313710999995237,1.3593192999978783,2.6026510000010603,1,2.6026510000010603
30,0.08806540000000496,97.40936039999997,6.101836700000149,0.905589099998906,2.17352050000045,3.079109599999356,1.8327814000003855,1,1.8327814000003855
40,0.09067219999997178,126.48800819999997,19.450874999999996,0.9147430000011809,0.45700659999783966,1.3717495999990206,3.4415174999994633,1,3.4415174999994633
50,0.12618489999999838,179.13949589999993,26.042592999999897,1.0632002999991528,0.4691254999997909,1.5323257999989437,3.396161699998629,1,3.396161699998629
