num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_single_rollout_runtime_sec,ppo_total_runtime_sec,ppo_rollouts,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.04787420000138809,0.04787420000138809,0.04787420000138809,1,2,0,1
4,4042,13.0,9.0,30.76923076923077,0.09142509999946924,0.09142509999946924,0.09142509999946924,1,2,0,1
6,6042,17.0,7.0,58.82352941176471,0.15455579999979818,0.15455579999979818,0.15455579999979818,1,6,0,1
8,8042,21.0,16.0,23.809523809523807,0.0986704999995709,0.0986704999995709,0.0986704999995709,1,2,0,1
10,10042,28.0,15.0,46.42857142857143,0.2632499999999709,0.2632499999999709,0.2632499999999709,1,7,0,1
12,12042,44.0,26.0,40.909090909090914,0.40895240000099875,0.40895240000099875,0.40895240000099875,1,6,0,1
15,15042,34.0,24.0,29.411764705882355,0.4377204000011261,0.4377204000011261,0.4377204000011261,1,8,0,1
18,18042,46.0,28.0,39.130434782608695,0.5397664999982226,0.5397664999982226,0.5397664999982226,1,9,0,1
20,20042,63.0,34.0,46.03174603174603,1.085642000001826,1.085642000001826,1.085642000001826,1,14,0,1
25,25042,77.0,46.0,40.25974025974026,1.3282728999984101,1.3282728999984101,1.3282728999984101,1,14,0,1
30,30042,72.0,48.0,33.33333333333333,1.244989999999234,1.244989999999234,1.244989999999234,1,12,0,1
40,40042,96.0,67.0,30.208333333333332,1.6874213000010059,1.6874213000010059,1.6874213000010059,1,12,0,1
50,50042,129.0,121.0,6.2015503875969,1.1027969999995548,1.1027969999995548,1.1027969999995548,1,4,0,1
