num_demands,seed,initial_cost_regenerated,ppo_cost,ppo_improvement_percent,ppo_runtime_sec,ppo_single_rollout_runtime_sec,ppo_total_runtime_sec,ppo_rollouts,ppo_accepted_moves,ppo_invalid_moves,ppo_feasible
2,2042,7.0,4.0,42.857142857142854,0.037432799999805866,0.037432799999805866,0.037432799999805866,1,2,0,1
4,4042,13.0,9.0,30.76923076923077,0.0917236999994202,0.0917236999994202,0.0917236999994202,1,2,0,1
6,6042,17.0,7.0,58.82352941176471,0.2198126000002958,0.2198126000002958,0.2198126000002958,1,6,0,1
8,8042,21.0,16.0,23.809523809523807,0.13460329999725218,0.13460329999725218,0.13460329999725218,1,2,0,1
10,10042,28.0,15.0,46.42857142857143,0.49853169999914826,0.49853169999914826,0.49853169999914826,1,7,0,1
12,12042,44.0,26.0,40.909090909090914,0.7261620999997831,0.7261620999997831,0.7261620999997831,1,6,0,1
15,15042,34.0,23.0,32.35294117647059,0.8168660000010277,0.8168660000010277,0.8168660000010277,1,9,0,1
18,18042,46.0,25.0,45.65217391304348,1.3063259000009566,1.3063259000009566,1.3063259000009566,1,12,0,1
20,20042,63.0,34.0,46.03174603174603,2.0046085999965726,2.0046085999965726,2.0046085999965726,1,14,0,1
25,25042,77.0,46.0,40.25974025974026,2.6026510000010603,2.6026510000010603,2.6026510000010603,1,14,0,1
30,30042,72.0,48.0,33.33333333333333,1.8327814000003855,1.8327814000003855,1.8327814000003855,1,10,0,1
40,40042,96.0,63.0,34.375,3.4415174999994633,3.4415174999994633,3.4415174999994633,1,14,0,1
50,50042,129.0,109.0,15.503875968992247,3.396161699998629,3.396161699998629,3.396161699998629,1,8,0,1
