#{"t_start": 1788819616.6212828, "env_id": "None"}
r,l,t
4.439412,9,185.802046
1.572308,12,185.868579
1.95697,30,186.189189
5.78,22,186.282115
2.006667,29,186.837222
-0.067692,32,188.416925
4.263333,7,188.481891
3.095385,32,188.712037
-1.17,32,189.144029
5.12,8,189.196916
-0.044103,32,192.006436
2.249362,32,192.73767
2.065385,5,192.852304
0.788182,23,193.533312
-0.608571,18,194.397049
-2.045,32,195.032223
4.35,13,195.149225
-1.007312,32,197.292281
-1.029126,32,201.687638
2.543448,32,201.94905
1.4375,32,202.222572
3.78,17,202.363678
3.011429,32,202.627421
3.962632,9,202.697307
3.386087,20,202.844351
-0.01,1,202.862304
-1.284348,32,204.558369
2.55,9,204.642553
0.344516,32,205.677423
7.303333,3,205.702425
-0.210612,32,206.207604
0.607059,4,206.317546
0.504595,9,206.592674
2.228085,32,207.082652
-0.913469,32,209.572661
4.247419,23,209.762437
2.65,10,209.812519
-1.6,32,214.712721
2.688039,21,215.226244
-1.322105,32,216.777712
-1.662913,32,219.95791
5.45,5,219.980421
2.305405,10,220.117787
3.73,7,220.162945
1.824906,32,220.793054
-0.885882,32,222.503108
7.303333,3,222.527873
6.031111,8,222.598706
5.55913,18,222.71757
6.52,8,222.771993
4.228889,18,222.986999
-2.8875,32,230.253178
4.97,3,230.293187
1.653279,15,230.728093
-0.363077,29,232.246196
3.888571,4,232.30325
1.08,2,232.352998
2.773077,15,232.713086
0.459016,32,234.117008
3.201622,18,234.337077
-0.01,1,234.363145
5.626667,24,234.523123
-1.556207,27,237.483272
3.897561,24,237.903602
3.122857,2,237.928747
0.214043,2,238.0247
2.314444,13,238.123647
-2.551852,32,244.006876
6.952857,19,244.133345
2.857931,28,244.433395
2.073913,10,244.713737
3.72,13,244.818658
6.215714,7,244.88866
3.566667,10,244.9986
3.528571,16,245.223287
4.6525,16,245.643644
3.306667,12,245.898878
2.23,7,245.958632
2.645366,26,246.463755
-0.02,2,246.54546
5.48,2,246.563708
-0.01,1,246.65377
3.783226,12,246.85859
0.738788,14,247.339474
3.556667,11,247.399983
1.642553,20,247.823678
-1.02,2,247.853653
5.064615,32,248.038486
2.55098,18,248.469889
3.985,14,248.583675
4.721667,32,249.12014
2.173019,11,249.438451
0.791111,32,249.606664
1.232687,27,250.965275
6.58,2,250.980406
4.5725,24,251.154038
-4.07,7,251.198702
-0.768077,28,257.08239
2.780952,10,257.35394
2.773939,14,257.636981
3.782353,10,257.763679
2.9,10,257.973807
2.912632,14,258.139355
1.349355,7,258.275585
-3.597355,32,262.819782
-0.529474,32,265.903997
2.75,25,266.201342
2.135217,25,266.775772
-0.229388,32,272.976304
0.902564,28,273.481532
5.06,20,273.744195
-0.103448,32,274.964025
2.97,11,275.325794
-0.222308,3,275.46091
1.08,32,276.234351
1.245,13,276.665293
1.902222,32,277.234357
4.7425,7,277.318182
-0.053333,32,278.864395
4.749565,12,279.024206
5.202857,14,279.284384
0.842745,2,279.416952
4.381724,17,279.669952
4.295385,32,279.884559
-1.266549,32,290.419144
4.692609,9,290.545721
4.966923,11,290.656785
5.863077,6,290.714687
-0.571429,32,292.234592
3.733333,10,292.361475
-2.107563,32,298.36294
2.053846,10,298.534792
-1.992195,32,303.76898
4.36,4,303.825155
4.7025,11,303.940215
3.359474,19,304.266004
5.951111,16,304.425205
1.62549,10,304.680337
2.73,2,304.702873
0.763607,26,306.049212
4.469412,6,306.236579
2.153158,17,306.677109
-1.271795,32,307.17503
3.39,6,307.280172
0.355094,6,307.500052
5.47,3,307.520268
0.352439,5,307.86522
-1.18,32,309.535472
1.417241,10,309.88518
-1.630891,32,314.375383
2.346667,32,314.525176
2.549167,19,315.031091
-0.454878,19,315.749023
-1.801404,32,318.551424
0.526429,26,319.226831
2.088462,23,319.410313
1.162222,6,319.520614
-0.409014,32,320.641975
4.304615,8,320.695664
4.163333,17,320.796895
4.6225,19,320.900608
7.263333,7,320.930712
-0.073271,12,321.581483
2.949286,15,321.955574
6.2,20,322.095662
4.619231,15,322.225555
3.435714,10,322.350689
4.463333,19,322.709824
1.097895,6,322.870415
4.25875,21,323.045424
2.033684,30,323.415998
0.346667,32,323.565473
