epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,4.494804827614899,0.08142493638676845,4.197745323181152,0.11363636702299118
2,3.8951938734709763,0.1183206106870229,3.7828714847564697,0.11363636702299118
3,3.511092920036413,0.1183206106870229,3.702126979827881,0.11363636702299118
4,3.4190011242873797,0.1183206106870229,3.7202017307281494,0.11363636702299118
5,3.390784323063819,0.1183206106870229,3.7301175594329834,0.125
6,3.371003692690046,0.1297709923664122,3.7346982955932617,0.125
7,3.359546635290442,0.13486005089058525,3.7542150020599365,0.125
8,3.3478054539241255,0.1361323155216285,3.762033700942993,0.125
9,3.3386528722505835,0.13486005089058525,3.75040602684021,0.125
10,3.333065679055134,0.12849872773536897,3.7518770694732666,0.125
11,3.3251083194451176,0.13231552162849872,3.752293586730957,0.125
12,3.3183729733522913,0.13486005089058525,3.756955623626709,0.125
13,3.3105060295900923,0.1361323155216285,3.756737470626831,0.125
14,3.303080447150854,0.138676844783715,3.77506160736084,0.125
15,3.2950409629569406,0.13994910941475827,3.781452178955078,0.11363636702299118
16,3.2905687606365017,0.13740458015267176,3.7826502323150635,0.11363636702299118
17,3.282212694789314,0.13486005089058525,3.7707128524780273,0.125
18,3.2749926928648816,0.13740458015267176,3.766408681869507,0.11363636702299118
19,3.264802593614612,0.14249363867684478,3.7709600925445557,0.11363636702299118
20,3.254875376024319,0.14249363867684478,3.769867181777954,0.11363636702299118
21,3.244736645967906,0.13994910941475827,3.7602972984313965,0.125
22,3.2334623737189605,0.14122137404580154,3.762369394302368,0.125
23,3.220952547840186,0.14249363867684478,3.7539725303649902,0.125
24,3.2090314653993564,0.1450381679389313,3.759747266769409,0.13636364042758942
25,3.1918334063076186,0.14249363867684478,3.7606592178344727,0.125
